Ticker,Ensemble_Score,XGBoost_Prob,LSTM_Prob,Both_Bullish,RSI_14,Return_20d,Volatility_20d
PKG,0.5193,0.5352,0.5,False,0.9,78.47,-59.1567
BLK,0.5188,0.4898,0.5542,False,-0.7,25.45,-65.9667
CFG,0.5187,0.547,0.4841,False,1.2,145.31,197.5385
MOS,0.5184,0.5458,0.4849,False,-0.8,-38.81,111.7314
NRG,0.5177,0.5648,0.4601,False,0.3,128.8,159.2347
BR,0.5173,0.4737,0.5707,False,1.3,117.12,-60.5299
HUM,0.5171,0.5951,0.4218,False,0.1,153.19,163.5463
NEM,0.5171,0.5561,0.4695,False,-1.2,-110.86,34.6151
CDNS,0.5169,0.501,0.5363,False,0.0,107.36,7.5323
TGT,0.5166,0.4968,0.5408,False,-1.0,-158.95,387.8316
JPM,0.5164,0.5283,0.5018,False,1.4,124.23,128.5115
ALB,0.5162,0.5381,0.4893,False,0.2,138.14,216.8501
ODFL,0.5156,0.5347,0.4923,False,-0.3,115.92,143.4239
FFIV,0.5152,0.5352,0.4907,False,0.6,58.71,-61.2789
AXP,0.5148,0.522,0.5059,False,1.1,127.62,33.3729
NTRS,0.5147,0.5337,0.4914,False,1.4,101.03,-34.9958
GM,0.5138,0.5758,0.438,False,-0.3,88.25,129.7678
TER,0.5135,0.5731,0.4407,False,-0.3,18.58,24.9117
RJF,0.5134,0.5006,0.5291,False,1.3,144.31,88.7483
ADI,0.5128,0.5363,0.4842,False,-0.8,-52.51,35.8314
IRM,0.5125,0.5877,0.4206,False,0.3,-25.99,108.078
C,0.512,0.5028,0.5234,False,0.5,111.01,50.5018
DHI,0.512,0.5401,0.4776,False,-0.2,-24.11,37.0193
IDXX,0.5119,0.5317,0.4876,False,-0.8,18.12,-20.9651
WDC,0.5119,0.5104,0.5138,False,0.2,115.05,116.5753
DLR,0.5118,0.5296,0.4901,False,1.3,91.61,-7.0365
MS,0.5114,0.5376,0.4795,False,0.1,132.42,129.5063
ADBE,0.5114,0.5348,0.4828,False,0.3,69.16,35.7653
GRMN,0.5113,0.484,0.5446,False,-0.3,60.4,-60.5959
TECH,0.5113,0.5153,0.5064,False,-0.3,1.94,106.175
DXCM,0.5111,0.4873,0.5402,False,1.0,101.87,73.3836
MRNA,0.5104,0.5841,0.4203,False,-0.7,-273.73,332.7489
STT,0.5104,0.5516,0.4601,False,0.7,48.09,-33.277
DOV,0.5101,0.4931,0.531,False,0.4,82.38,-23.1319
STLD,0.5096,0.4999,0.5214,False,-0.6,109.78,199.4964
ORCL,0.5091,0.5103,0.5077,False,-0.7,95.58,31.6373
